Country,population
Nigeria,206139589
Ethiopia,114963588
Egypt,102334404
DR Congo,89561403
South Africa,59308690
Tanzania,59734218
Kenya,53771296
Uganda,45741007
Algeria,43851044
Sudan,43849260
Morocco,36910560
Angola,32866272
Ghana,31072940
Mozambique,31255435
Madagascar,27691018
Cameroon,26545863
Côte d'Ivoire,26378274
Niger,24206644
Burkina Faso,20903273
Mali,20250833
Malawi,19129952
Zambia,18383955
Senegal,16743927
Chad,16425864
Somalia,15893222
Zimbabwe,14862924
Guinea,13132795
Rwanda,12952218
Benin,12123200
Tunisia,11818619
Burundi,11890784
South Sudan,11193725
Togo,8278724
Sierra Leone,7976983
Libya,6871292
Congo,5518087
Liberia,5057681
Central African Republic,4829767
Mauritania,4649658
Eritrea,3546421
Namibia,2540905
Gambia,2416668
Botswana,2351627
Gabon,2225734
Lesotho,2142249
Guinea-Bissau,1968001
Equatorial Guinea,1402985
Mauritius,1271768
Eswatini,1160164
Djibouti,988000
Réunion,895312
Comoros,869601
Western Sahara,597339
Cabo Verde,555987
Mayotte,272815
Sao Tome & Principe,219159
Seychelles,98347
Saint Helena,6077
